Δ Measure,,,Hangover severity,,,,BSRI,ERQ - Cognitive Reappraisal,ERQ - Expressive Suppression
,,,1-item,Headache & thirst,Gastric & cardio,Total,,,
,,,,,,,,,
Hangover severity,1-item,,—,,,,,,
,Headache & thirst,,73.522,—,,,,,
,Gastric & cardio,,32.859,0.465,—,,,,
,Total,,4230.515,3344.777,38.719,—,,,
BSRI,,,0.326,0.396,0.285,1.306,—,,
ERQ - Cognitive Reappraisal,,,0.294,0.452,0.349,0.307,0.308,—,
ERQ - Expressive Suppression,,,0.314,0.292,0.522,0.306,0.428,0.303,—
Recall,Positive,,0.453,1.098,0.257,0.597,0.320,0.304,0.281
,Neutral,,0.288,0.253,0.285,0.285,0.488,0.553,4.002
,Negative,,0.307,0.330,0.343,0.284,0.289,0.314,0.621
Stroop,Accuracy,Positive,0.838,0.381,0.366,0.575,1.390,9.311,0.370
,,Neutral,0.342,0.478,0.360,0.372,0.952,0.827,0.473
,,Negative,2.510,5.433,0.551,1.972,0.582,0.630,0.539
,RT,Positive,1.291,0.486,1.170,0.753,0.382,0.396,0.483
,,Neutral,1.086,0.535,0.715,0.530,0.382,0.421,2.043
,,Negative,0.339,0.337,0.418,0.530,0.790,0.836,0.363
Moeller,Accuracy,RC-DC,0.263,0.720,1.360,0.262,0.642,0.476,0.297
,,RC-DR,0.288,0.264,0.425,0.610,0.819,0.619,0.485
,,RR-DC,0.561,0.368,0.287,0.262,0.284,0.556,0.365
,,RR-DR,0.263,0.325,0.358,0.555,1.447,0.300,0.290
,,RRi-DC,0.302,0.271,0.295,0.303,1.638,0.338,0.369
,,RRi-DR,0.388,0.355,0.268,0.276,0.746,2.179,0.901
,RT,RC-DC,0.663,0.457,0.560,1.371,0.312,0.316,51.575
,,RC-DR,0.290,0.337,0.526,1.063,0.560,0.352,3.285
,,RR-DC,0.363,0.337,0.598,1.256,1.338,0.389,18.420
,,RR-DR,0.396,0.651,0.468,1.499,0.413,0.468,22.432
,,RRi-DC,0.546,0.539,0.800,2.193,1.094,0.438,10.475
,,RRi-DR,0.765,1.301,0.352,12.727,1.338,0.543,0.581
"BF > 3 presnted in bold. BF < 0.33 presented in bold italics. RT - reaction time. RC - response change, RR - response remain, RRi - response remain (identical), DC - distractor change, DR - distractor remain.",,,,,,,,,
