Δ Measure,,,Hangover severity,,,,BSRI,ERQ - Cognitive Reappraisal,ERQ - Expressive Suppression
,,,1-item,Headache & thirst,Gastric & cardio,Symptom total,,,
,,,,,,,,,
Hangover severity,1-item,,—,,,,,,
,Headache & thirst,,".609
(<.001)",—,,,,,
,Gastric & cardio,,".599
(.002)",".247
(.234)",—,,,,
,Symptom total,,"0.789
(<.001)","0.785
(<.001)","0.603
(.001)",—,,,
BSRI,,,".156
(.489)",".130
(.564)",".071
(.759)",".383
(.078)",—,,
ERQ - Cognitive Reappraisal,,,".062
(.788)","-.190
(.408)",".166
(.472)","-.103
(.658)","-.009
(.972)",—,
ERQ - Expressive Suppression,,,"-.094
(.678)","-.078
(.730)","-.264
(.235)","-.097
(.667)","-.129
(.611)",".019
(.939)",—
Recall,Positive,,"-.153
(.457)","-.305
(.130)",".008
(.970)","-.254
(.210)","-.147
(.513)",".098
(.671)","-.042
(.854)"
,Neutral,,"-.112
(.587)",".018
(.929)",".083
(.692)",".128
(.535)",".248
(.265)","-.221
(.336)",".451
(.035)"
,Negative,,"-.117
(.569)","-.140
(.495)",".113
(.589)","-.086
(.678)","-.105
(.643)","-.111
(.631)",".282
(.203)"
Stroop,Accuracy,Positive,".375
(.186)",".163
(.577)",".056
(.857)",".280
(.332)",".446
(.146)",".814
(.002)",".077
(.812)"
,,Neutral,"-.118
(.688)","-.232
(.424)",".045
(.884)",".062
(.832)",".418
(.176)",".385
(.243)","-.192
(.551)"
,,Negative,".545
(.044)",".637
(.014)",".363
(.222)",".520
(.057)","-.282
(.374)",".298
(.374)","-.273
(.391)"
,RT,Positive,".404
(.152)",".309
(.283)",".461
(.113)",".359
(.208)","-.039
(.905)","-.032
(.924)","-.248
(.437)"
,,Neutral,".420
(.135)",".322
(.262)",".343
(.252)",".275
(.341)",".004
(.991)",".214
(.528)","-.507
(.092)"
,,Negative,".071
(.809)","-.020
(.946)","-.199
(.515)",".277
(.337)",".329
(.296)","-.395
(.230)",".014
(.965)"
Moeller,Accuracy,RC-DC,"-.029
(.894)",".273
(.196)","-.420
(.046)","-.021
(.923)","-.291
(.200)","-.181
(.459)","-.055
(.817)"
,,RC-DR,"-.093
(.667)","-.003
(.990)","-.201
(.358)","-.276
(.192)","-.303
(.181)","-.278
(.249)",".210
(.373)"
,,RR-DC,".248
(.242)",".195
(.362)",".088
(.690)",".034
(.874)",".008
(.973)",".218
(.369)",".134
(.572)"
,,RR-DR,"-.035
(.872)",".118
(.584)","-.176
(.421)",".225
(.290)",".402
(.071)","-.062
(.802)","-.010
(.966)"
,,RRi-DC,".085
(.693)","-.060
(.780)",".095
(.666)","-.110
(.608)","-.421
(.057)",".133
(.586)","-.148
(.535)"
,,RRi-DR,".161
(.452)",".176
(.412)",".031
(.888)",".046
(.832)","-.320
(.157)",".393
(.096)",".336
(.148)"
,RT,RC-DC,".294
(.163)",".229
(.282)",".249
(.253)",".344
(.100)",".123
(.594)",".091
(.712)","-.723
(<.001)"
,,RC-DR,".113
(.601)",".192
(.369)",".200
(.361)",".335
(.110)",".277
(.223)",".134
(.584)","-.486
(.030)"
,,RR-DC,".172
(.423)",".155
(.469)",".262
(.227)",".337
(.107)",".319
(.159)",".164
(.502)","-.592
(.006)"
,,RR-DR,".184
(.390)",".289
(.171)",".227
(.298)",".377
(.069)",".194
(.399)",".225
(.353)","-.617
(.004)"
,,RRi-DC,".257
(.225)",".281
(.184)",".334
(.119)",".440
(.031)",".386
(.084)",".247
(.308)","-.568
(.009)"
,,RRi-DR,".285
(.178)",".378
(.068)",".185
(.398)",".551
(.005)",".432
(.050)","-.223
(.359)","-.305
(.191)"
"Significant relationships are indicated in bold, with p-values presented in brackets. RT - reaction time. RC - response change, RR - response remain, RRi - response remain (identical), DC - distractor change, DR - distractor remain.",,,,,,,,,
