Measure,,,N,Δ Mean,SD,Min,Max
Hangover severity,1-item,,26,3.615,3.047,-1.000,9.000
,Headache & thirst,,26,2.551,2.496,-2.333,6.667
,Gastric & cardio,,25,1.448,1.374,-0.600,4.800
,Total,,26,42.231,34.597,-3.000,121.000
BSRI,,,22,22.091,109.336,-246.000,234.000
ERQ - Cognitive reappraisal,,,22,0.023,0.400,-0.750,0.750
ERQ - Expressive Suppression,,,21,0.143,0.402,-0.667,1.000
Recall,Positive,,26,-0.192,1.470,-3.000,3.000
,Neutral,,26,-0.385,2.021,-7.000,3.000
,Negative,,26,-0.385,1.444,-5.000,2.000
Stroop,Accuracy,Positive,14,-0.036,0.113,-0.350,0.100
,,Neutral,14,-0.003,0.081,-0.147,0.105
,,Negative,14,-0.008,0.061,-0.108,0.105
,RT,Positive,14,87.239,223.559,-234.500,608.796
,,Neutral,14,45.786,198.856,-167.690,584.458
,,Negative,14,19.722,174.408,-284.637,442.272
Moeller,Accuracy,RC-DC,24,-0.022,0.061,-0.217,0.137
,,RC-DR,24,<0.001,0.053,-0.132,0.092
,,RR-DC,24,-0.008,0.052,-0.142,0.079
,,RR-DR,24,-0.012,0.072,-0.250,0.071
,,RRi-DC,24,0.001,0.030,-0.057,0.081
,,RRi-DR,24,-0.022,0.050,-0.158,0.030
,RT,RC-DC,24,-12.060,324.869,-589.625,834.172
,,RC-DR,24,-67.354,307.704,-499.825,743.944
,,RR-DC,24,-61.187,280.003,-497.658,507.562
,,RR-DR,24,-26.368,274.025,-434.329,622.664
,,RRi-DC,24,-1.124,230.904,-403.565,549.102
,,RRi-DR,24,-57.833,195.304,-349.035,328.209
"RT - reaction time. RC - response change, RR - response remain, RRi - response remain (identical), DC - distractor change, DR - distractor remain.",,,,,,,
