Measure,t,significance,Cohen's d,BF10,,,,,,
1-item Hangover severity,6.05,<.001,1.78,15072.76,,,,,,
Total hangover severity,6.22,<.001,1.22,22538.86,,,,,,
Headache & thirst hangover symptom severity.,5.21,<.001,1.02,2136.71,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Measure,Condition.,Mean,SD,Min,Max,W,z,Sig.,rank-biserial correlation,BF10
Gastric & cardiovascular hangover symptom severity.,Sober,0.60,0.75,0,2.80,270,4.02,<.001,0.957,3376.11
,Hangover,2.22,1.71,0,6.20,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Measure,Condition.,Mean,SD,Min,Max,t,df,Sig.,Cohen's d,BF10
1-item Hangover severity,Sober,0.15,0.46,0,2,6.05,25,<.001,1.78,15072.76
,Hangover,3.77,2.96,0,9,,,,,
Total hangover severity,Sober,27.54,18.58,2,78,6.22,25,<.001,1.22,22538.86
,Hangover,69.77,37.21,18,166,,,,,
Headache & thirst hangover symptom severity.,Sober,2.59,1.53,0.34,6.67,5.21,25,<.001,1.02,2136.71
,Hangover,5.14,2.12,1.34,9.34,,,,,
,,,,,,,,,,
Measure,W,z,significance,rank-biserial correlation,BF10,,,,,
Gastric & cardiovascular hangover symptom severity.,270,4.02,<.001,.957,3376.11,,,,,
