Hangover condition,Response condition,Distractor condition,Mean (ms),SD,Min,Max
Sober,Change,Change,1319.376,344.854,731.136,1989.057
,,Remain,1321.206,351.282,742.271,2044.535
,Remain,Change,1211.505,312.953,688.229,1733.455
,,Remain,1179.538,305.125,638.177,1967.82
,Identical,Change,1035.236,258.947,594.168,1501.741
,,Remain,1037.371,301.312,593.277,1865.315
Hangover,Change,Change,1307.315,430.285,702.556,2181.153
,,Remain,1253.852,389.168,705.357,1963.769
,Remain,Change,1150.317,353.155,623.91,1996.926
,,Remain,1153.169,350.286,688.221,1826.42
,Identical,Change,1034.112,288.263,580.856,1559.869
,,Remain,979.538,288.132,579.577,1516.28
