word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,Valence,Arousal,Imagery,Concreteness,Meaningfulness,Familiarity,Emotionality,Group
goals,5,1,40,47.142857,5.648016,,5.137255,1,5.41,4.4,4.03,3.37,6.06,5.8,4.79,POS
rescue,6,2,15,23.166833,21.907455,18.1771,25.411765,1,5.77,4.06,5.06,4.48,6.64,4.9,4.54,POS
merit,5,2,29,11.758242,3.149197,29.8629,3.392157,1,5.34,3.37,3,3.06,5,3.62,2.93,POS
bible,5,2,61,19.74026,10.440271,,18.333333,1,5.52,3.79,6.76,6.08,6.5,5.02,4.79,POS
diploma,7,3,,7.492507,2.841123,,2.529412,1,6.16,3.58,6.45,5.87,6.91,4.12,3.37,POS
knowledge,9,2,145,145.714286,21.702072,153.829,25.529412,1,5.71,3.38,4.28,2.95,6,5.38,2.8,POS
truth,5,1,128,82.387612,324.161869,212.548,192.176471,1,5.7,3.59,3.24,3.16,6,4.97,5.32,POS
prestige,8,2,29,9.93007,1.266525,4.17086,1.372549,1,5.25,3.55,3.88,3.55,5.55,4.11,4.29,POS
journey,7,2,28,48.491508,13.418316,,19.941176,1,5.23,3.57,4.52,4.09,6.38,5.09,4.28,POS
fireworks,9,2,5,3.596404,7.017232,2.39951,5.627451,1,5.46,3.53,6.34,5.46,6.03,3.19,4.15,POS
despair,7,2,21,14.905095,4.004957,45.4633,5.862745,1,1.92,4.44,3.46,2.46,5.19,4.16,5.26,NEG
ignorance,9,3,16,11.408591,2.156515,35.1524,3.607843,1,2.17,3.68,3.67,3.32,5.79,4.37,3.32,NEG
waste,5,1,35,67.532468,54.631715,38.1643,53.254902,1,1.9,4,5.73,4.43,6.13,4.83,3.43,NEG
dummy,5,2,3,4.505495,5.682246,,9.803922,1,1.92,3.8,4.92,3.16,5.64,3.16,3.16,NEG
grime,5,1,,1.288711,,,0.411765,1,2.29,3.91,5.12,4.95,6.08,3.7,3,NEG
scar,4,1,10,4.305694,8.317987,4.00472,8.470588,1,2.47,3.95,6.56,5.39,6.17,3.56,3.6,NEG
trash,5,1,3,2.127872,28.308539,2.60125,22.470588,1,2.45,3.68,6.18,5.36,6.5,4.81,2.18,NEG
fungus,6,2,2,2.927073,1.985363,,2.196078,1,2.12,3.96,6.12,5.58,6,2.38,2.35,NEG
pity,4,2,17,20.1998,20.914773,60.858,23.509804,1,2.48,3.96,4.16,3.08,5.96,4.56,4.36,NEG
fire,4,1,205,140.889111,186.62413,240.652,215.490196,1,2.53,4.13,6.16,5,6.06,4.48,3.29,NEG
teacher,7,2,82,87.412587,32.861182,26.1288,55.72549,1,4.11,3.5,6.46,5.5,6.42,4.57,2.69,NEU
vanity,6,3,7,3.966034,3.217657,24.3242,4.117647,1,3.39,4.06,4.39,3.7,5.84,3.03,3.57,NEU
bust,4,1,7,7.122877,22.523602,5.60993,27.568627,1,3.66,3.55,4.55,4.48,5.59,3.96,2.37,NEU
secret,6,2,79,57.592408,130.417816,111.678,109.509804,1,3.55,4.9,3.95,3.9,6.25,5.1,5.1,NEU
contempt,8,2,15,12.587413,5.511094,31.802,5.019608,1,3.6,3.83,3.6,3.1,5.6,3.66,4.7,NEU
tiger,5,2,7,9.020979,10.542963,9.16529,18.529412,1,4.31,3.78,6.71,6.37,6.56,3.59,2.46,NEU
witness,7,2,28,25.064935,49.87369,40.5456,51.392157,1,3.68,3.9,4.63,4.4,6.36,5.09,2.86,NEU
crush,5,1,4,5.024975,19.956322,9.94772,16.803922,1,3.87,3.93,5.09,3.64,6.41,3.45,3.96,NEU
lust,4,1,6,4.855145,4.929177,8.48412,5.568627,1,3.42,3.97,4.17,3.14,5.8,4.42,5.25,NEU
cause,5,1,132,130.46953,317.555402,204.686,310.039216,1,3.82,3.41,2.44,3.16,5.7,4.62,2.7,NEU
