word (stimuli),let,syl,freq_BNC,Valence,Arousal,Imagery,Concreteness,Meaning,Familiarity,Emotionality,Likeableness,Desirability,Control,Grouping,Set
bland,5,1,6.213786,1.96,2.83,5.47,5.49,6.61,4.22,3,2.08,1.2,2.65,Neg,1
unstudious,10,3,,2,3.56,5.14,3.86,4.39,3.21,2.03,1.55,1.34,2.72,Neg,2
flabby,6,2,0.999001,1.91,3.62,5.31,4.01,5.26,2.97,3.28,2.2,1.17,3.65,Neg,2
discourteous,12,4,0.31968,1.42,3.85,5.51,4.44,5.25,3.01,3.29,1.42,1.4,3.33,Neg,1
dreary,6,2,2.717283,1.9,3.89,4.69,3.79,6.76,2.86,3.62,1.69,1.8,2.23,Neg,1
sluggish,8,2,2.497502,1.81,3.93,5.36,4.33,5.54,3.01,3.13,1.91,1.35,4.01,Neg,2
detached,8,2,10.15984,1.68,3.99,4.96,4.49,6.51,3.66,4.23,2.42,2,2.47,Neg,2
unattentive,11,4,,1.55,4.18,6.08,4.38,6.68,2.85,3.74,1.38,1.46,1.73,Neg,1
shut,4,1,50.999001,2.04,4.2,5.69,4.9,6.12,4.48,3.14,2.37,1.8,4.34,Neg,1
purposeless,11,3,0.30969,1.82,4.26,3.87,4.47,6.27,2.92,3.69,1.86,1.39,2.24,Neg,2
careless,8,2,5.774226,1.97,3.55,5.07,3.86,6.17,5.19,3.55,2.37,2.79,3.56,Neg,2
hopeless,8,2,7.552448,1.41,3.6,6.29,4.69,6.71,4.65,5.22,1.51,1.08,2.81,Neg,1
unhappy,7,3,19.100899,1.89,3.85,5.28,3.74,6.87,6.05,5.07,1.63,1.56,4.25,Neg,1
rude,4,1,9.84016,1.78,3.86,4.85,5.38,6.76,4.54,3.91,1.46,1.27,4.18,Neg,2
thoughtless,11,2,1.018981,1.72,3.9,4.71,4.03,6.87,3.46,3.04,2.04,1.44,3.97,Neg,2
sinful,6,2,1.848152,1.86,3.97,5.58,3.25,7,3.89,2.63,2.25,1.65,3.35,Neg,1
sloppy,6,2,2.127872,1.78,4.1,6.34,3.42,6.63,4.39,3.78,2.15,1.77,4.45,Neg,1
despairing,10,3,2.297702,1.89,4.19,4.49,4.85,5.44,3.7,3.56,1.27,1.28,2.59,Neg,2
self-centered,13,3,,1.81,4.25,5.02,4.29,6.33,3.5,4.99,1.41,1.38,4.54,Neg,2
withdrawn,9,2,16.813187,1.92,4.29,6.14,3.48,6.87,3.26,4.35,1.72,1.6,4.09,Neg,1
strong,6,1,161.078921,6.44,4.62,5.9,4.13,6.92,6.73,3.84,5.77,6.43,5.12,Pos,1
attentive,9,3,2.547453,5.9,4.2,4.12,4.04,6.93,4.15,2.76,5.84,5.9,5.26,Pos,2
quick-witted,12,3,0.31968,5.41,4.17,4.73,4.5,6.48,3.45,4.53,5.89,6.29,5.21,Pos,2
fearless,8,2,1.578422,5.36,4.03,5.59,2.92,6.85,5.07,4.85,5.43,5.84,4.83,Pos,1
thorough,8,2,11.158841,5.96,3.82,4.79,4.67,5.2,4.79,2.51,6.16,6.22,4.52,Pos,1
