Descriptive Statistics,,,,,,,
Parameter,Set,Valid,Missing,Mean,Std. Deviation,Minimum,Maximum
letters,1,29,0,7.931,2.59,4,15
letters,2,31,0,8.484,2.35,4,13
syllables,1,29,0,2.483,0.949,1,4
syllables,2,31,0,2.516,0.811,1,4
freq_BNC,1,28,1,18.155,32.746,0.32,161.079
freq_BNC,2,29,2,26.841,82.578,0.12,444.066
Valence,1,29,0,3.77,1.728,1.41,6.44
Valence,2,31,0,3.701,1.624,1.68,6.09
Arousal,1,29,0,3.849,0.459,2.83,4.94
Arousal,2,31,0,3.875,0.537,2.73,5.29
Imagery,1,29,0,5.378,0.669,4.17,6.49
Imagery,2,31,0,4.96,0.99,2.76,6.69
Concreteness,1,29,0,4.373,0.807,2.92,5.89
Concreteness,2,31,0,4.244,0.588,2.77,5.38
Meaning,1,29,0,6.311,0.648,4.97,7
Meaning,2,31,0,5.943,0.943,2.57,6.93
Familiarity,1,29,0,4.161,1.039,2.57,6.73
Familiarity,2,31,0,3.941,0.96,1.31,5.86
Emotionality,1,29,0,3.479,0.864,1.95,5.22
Emotionality,2,31,0,3.358,0.888,1.27,4.99
Likeableness,1,29,0,3.802,1.763,1.38,6.42
Likeableness,2,31,0,3.715,1.743,1.27,6.16
Desirability,1,29,0,3.743,2.049,1.08,6.6
Desirability,2,31,0,3.596,2.039,1.17,6.4
Control,1,29,0,4.3,1.201,1.73,6.14
Control,2,31,0,4.102,0.943,2.24,5.92
,,,,,,,
