Parameter,Valence group,Valid,Missing,Mean,Std. Deviation,Minimum,Maximum
letters,Neg,20,0,8.15,2.661,4,13
letters,Neu,20,0,7.6,2.186,5,12
letters,Pos,20,0,8.9,2.469,6,15
syllables,Neg,20,0,2.3,0.865,1,4
syllables,Neu,20,0,2.4,0.94,1,4
syllables,Pos,20,0,2.8,0.768,1,4
freq_BNC,Neg,17,3,8.27,12.359,0.31,50.999
freq_BNC,Neu,20,0,35.001,97.409,0.12,444.066
freq_BNC,Pos,20,0,22.305,40.824,0.32,161.079
Valence,Neg,20,0,1.806,0.176,1.41,2.04
Valence,Neu,20,0,3.647,0.487,2.89,4.42
Valence,Pos,20,0,5.749,0.327,5.32,6.44
Arousal,Neg,20,0,3.893,0.345,2.83,4.29
Arousal,Neu,20,0,3.847,0.742,2.73,5.29
Arousal,Pos,20,0,3.848,0.311,3.53,4.62
Imagery,Neg,20,0,5.293,0.632,3.87,6.34
Imagery,Neu,20,0,4.864,1.099,2.76,6.6
Imagery,Pos,20,0,5.329,0.774,4.12,6.69
Concreteness,Neg,20,0,4.258,0.612,3.25,5.49
Concreteness,Neu,20,0,4.208,0.769,2.77,5.62
Concreteness,Pos,20,0,4.454,0.719,2.92,5.89
Meaning,Neg,20,0,6.252,0.711,4.39,7
Meaning,Neu,20,0,5.822,1.084,2.57,7
Meaning,Pos,20,0,6.287,0.555,5.2,7
Familiarity,Neg,20,0,3.791,0.878,2.85,6.05
Familiarity,Neu,20,0,3.831,1.099,1.31,5.27
Familiarity,Pos,20,0,4.519,0.867,3.45,6.73
Emotionality,Neg,20,0,3.663,0.81,2.03,5.22
Emotionality,Neu,20,0,3.089,0.797,1.27,4.3
Emotionality,Pos,20,0,3.498,0.94,1.81,4.95
Likeableness,Neg,20,0,1.835,0.378,1.27,2.42
Likeableness,Neu,20,0,3.612,0.834,2.35,5.05
Likeableness,Pos,20,0,5.825,0.357,4.72,6.42
Desirability,Neg,20,0,1.536,0.38,1.08,2.79
Desirability,Neu,20,0,3.349,1.152,1.72,5.38
Desirability,Pos,20,0,6.117,0.303,5.46,6.6
Control,Neg,20,0,3.358,0.866,1.73,4.54
Control,Neu,20,0,4.115,0.92,2.53,5.92
Control,Pos,20,0,5.119,0.567,3.85,6.14
